Risky Sentences,T/F (Personally),s (a scenario identification or description),p (the probability of that scenario),c(the consequence or evaluation measure of that scenario),T/F
"o Risk adjusted return criteria –We continually evaluate whether buying or building towers in a country and providing our  management and leasing services will meet our return criteria.As part of this analysis, we consider the risk associated  with an international market (for example, the impact of foreign currency exchange rates and inflation, real estate,  permitting, and taxation risks) and how a particular market meets our long-term strategic and financial objectives and our  business generally.Using our Local Presence to Build Strong Relationships with Major Wireless Service Providers.Given the nature of towers  as location-specific communications facilities, we believe that substantially all of what we do is done best locally.",T（strategic risk）,1,0,1,F
"In 2023, we announced results from our phase 3 LUNAR study evaluating the use of TTFields together with standard therapies following platinum- based treatment failure in the treatment of patients with metastatic non-small cell lung cancer (""NSCLC"").Patients treated with TTFields therapy and standard therapies demonstrated a statistically significant and clinically meaningful improvement in overall survival over standard therapies alone.The LUNAR study also showed a statistically significant and clinically meaningful improvement in overall survival when patients were treated with TTFields therapy and immune checkpoint inhibitors, as compared to those treated with immune checkpoint inhibitors alone, and a positive trend in overall survival when patients were treated with TTFields therapy and docetaxel versus docetaxel alone.In December 2023, we filed a PMA application with the FDA seeking approval for the use of TTFields therapy together with standard systemic therapies for the treatment of NSCLC following progression on or after platinum-based therapy.In January 2024, we announced the FDA had accepted this submission for filing.",F,1,0,0,F
"Industry Background Human capital management is an evolving necessity for organizations, with several key trends that have shaped today's environment.The Evolution of People Management Over the last 30 years, the demands of people leaders and people management strategies have significantly evolved in response to shifting demographics, employee expectations, and technological capabilities.As a result, the importance of people management has been elevated from a payroll- centric cost center to a highly strategic function focused on talent management as a critical component of business competitiveness.In the 1990s and early 2000s, HCM systems focused on moving paper-based human resources (“HR”) processes to software-based processes.The initial benefit was the elimination of paper trails, but there was limited focus on modernizing the work.",T（内部组织架构的变化）,1,0,1,F
"The Company strives  to engage and encourage associates to act and take personal responsibility for improving their health and well-being, as well as the health and well-being of their  families.To assist associates with their goals, the Company offers wellness resources and incentives to support wellness strategies.The Company believes that an equitable and inclusive environment with diverse teams produces more creative solutions, results  in better products and services, and is crucial to its efforts to attract and retain key talent.The Company's talent acquisition team focuses on building recruitment  marketing strategies that are designed to identify and attract diverse candidates.The Company's business resource groups (BRGs) also play a vital role in  deepening the recruitment pipeline of diverse talent and refer candidates to the Company on a regular basis.",T（可以留住员工）,1,0,1,F
"• Aspire for excellence in governance, transparency and regulatory compliance.We believe we have a regional competitive advantage with our clients because we are a U.S. corporation subject to the governance and disclosure requirements imposed upon SEC-registered companies trading on the Nasdaq Capital Market.We strive to be a trusted participant in the regulatory framework in each jurisdiction in which we operate.Our operations are subject to substantial regulatory oversight by various regulatory bodies.We have a group-wide compliance department based in Cyprus that oversees compliance for our group of companies.",T（regulatory compliance risk 小）,1,0,1,F
"The recommended daily value of fiber is 25g for women and children, and 38g for men  according to the May 2021 Food and Health Survey by the International Food Information Council.However, less than 10 percent of women and less than  3 percent of men get enough fiber in their daily diets.Our GoodWheat portfolio of better-for-you products addresses these needs as they are naturally higher in fiber and protein than traditional wheat without  sacrificing on taste or texture.In June 2022, we launched our GoodWheat pasta in five varieties – penne, spaghetti, fettuccine, elbows and rotini – in select retailers nationwide and on  Amazon.Our pasta delivers 4 times the fiber of traditional wheat pasta with 9g of protein per serving and no sacrifice on taste.",F,1,0,0,F
"neffy has high bioavailability  matching the approved doses of injection at a low dose of 2.0 or 1.0 mg intranasally.Even in the unlikely situation where epinephrine would be  100% bioavailable after administration of neffy, the resulting exposure is expected to be tolerable.Due to its low dose of epinephrine and high  bioavailability, neffy has minimal to no GI symptoms.GI symptoms such as vomiting occur in approximately 20% of anaphylaxis events and the  presence of such GI events due to administration of higher dose epinephrine products could confound the evaluation of anaphylaxis treatment  response and monitoring.•   Increased stability over existing treatment options.",T（产品会产生的症状）,1,1,1,T
"While traditional tools developed in the desktop age have struggled to keep up with evolving user demands, Dropbox was designed for the cloud era.We build simple, beautiful products that bring joy to our users and make it easier for them to do their best work.Open ecosystem Because people use a wide variety of devices, tools and platforms, Dropbox works across the devices, operating systems, and apps users want—from Android to iOS, Windows, Mac, desktop, and mobile.We also integrate seamlessly with other products, integrating with partners including Microsoft, Zoom, Slack (now part of Salesforce), BetterCloud, Atlassian, and Google.Viral, bottom-up adoption Every year, millions of users sign up for Dropbox.",F,1,0,0,F
"Our customers depend on us to provide a reliable supply of fuel-grade ethanol and manage the logistics and timing of delivery.Our customers collectively require fuel-grade ethanol volumes in excess of the supplies we produce at our facilities.We secure additional fuel-grade ethanol supplies from third- party ethanol producers.We arrange for transportation, storage and delivery of fuel-grade ethanol purchased by our customers through our agreements with third-party service providers in the Western United States as well as in the Midwest from a variety of sources.We market our essential ingredient feed products to dairies and feedlots, in many cases located near our production facilities.",T（供需比例保护）,1,0,1,F
"We also grant certain licenses to third  parties to use our intellectual property rights in select jurisdictions.In 2021, in our agreements with an affiliate of Groupe  Lactalis (“Lactalis”), related to the sale of certain assets in our global cheese business, we each granted the other party various  licenses to use certain of our and their respective intellectual property rights in perpetuity, including perpetual licenses for the  Kraft and Velveeta brands for certain cheese products.We also own numerous patents worldwide.We consider our portfolio of patents, patent applications, patent licenses under  patents owned by third parties, proprietary trade secrets, technology, know-how processes, and related intellectual property  rights to be material to our operations.Patents, issued or applied for, cover inventions ranging from packaging techniques to  processes relating to specific products and to the products themselves.",T（专利保护）,1,0,0,F
"Unlike most other confectionery stores, each Rocky Mountain Chocolate Factory  store prepares numerous products, including caramel apples, in the store.In-store preparation is designed to be both fun and entertaining for customers.We believe the in-store  preparation and aroma of our products enhances the ambiance at Rocky Mountain Chocolate Factory stores, and conveys an image of freshness and homemade quality.We  have been, and are committed to, deploying increased resources to our retail store network to further improve the store experience and enhance profitability, all while  maintaining brand standards.Site Selection Careful selection of a new retail site is critical to the success of our stores.",T（发展方向，与战略描述）,1,0,0,F
